#$accelx, accely, accelz, gyrox, gyroy, gyroz, magx, magy, magz#

$6,-96,213,-9,32,37,-140,24,-448#

$5,-102,216,-13,28,35,-140,24,-448#

$1,-104,218,-13,34,32,-140,24,-448#

$13,-99,213,-12,34,32,-140,24,-448#

$11,-95,205,-11,30,34,-140,24,-448#

$11,-95,206,-15,34,36,-140,24,-448#

$0,-96,215,-16,36,30,-138,28,-451#

$0,-98,231,-9,26,35,-138,28,-451#

$0,-99,211,-14,35,35,-138,28,-451#

$5,-95,205,-16,29,39,-138,28,-451#

$17,-99,206,-13,22,34,-138,28,-451#

$8,-93,211,-19,22,36,-138,28,-451#

$-9,-97,229,-19,-26,31,-138,28,-451#

$51,-94,462,-9,7,36,-138,28,-451#

$-2,-96,211,-22,-1,36,-138,28,-451#

$5,-105,241,-9,6,38,-138,28,-451#

$-5,-105,213,-9,14,41,-138,28,-451#

$2,-100,216,-12,28,38,-138,28,-451#

$30,-113,249,9,17,49,-138,28,-451#

$23,-96,199,-7,25,50,-138,28,-451#

$39,-85,201,0,26,51,-138,28,-451#

$35,-96,191,-12,18,52,-138,28,-451#

$34,-96,197,-7,16,47,-138,28,-451#

$26,-102,206,-11,18,53,-138,28,-451#

$23,-104,207,-10,57,49,-138,28,-451#

$-93,-104,293,-1,8,15,-138,28,-451#

$-220,-85,209,-20,60,62,-134,32,-448#

$-27,-107,233,-12,32,45,-134,32,-448#

$19,-97,200,-16,35,44,-134,32,-448#

$-29,-114,222,-12,4,34,-134,32,-448#

$14,-117,188,-18,21,37,-134,32,-448#

$-16,-103,194,-12,20,32,-134,32,-448#

$52,-113,190,-2,46,39,-134,32,-448#

$3,-100,205,-14,27,22,-134,32,-448#

$13,-129,200,-2,44,29,-134,32,-448#

$13,-115,189,-18,71,19,-134,32,-448#

$-9,-122,226,6,33,18,-134,32,-448#

$-8,-121,216,-12,45,1,-134,32,-448#

$3,-111,214,-11,56,-3,-134,32,-448#

$30,-113,203,-11,80,-11,-134,32,-448#

$22,-114,193,-11,74,-15,-134,32,-448#

$31,-109,182,-12,68,-11,-134,32,-448#

$-2,-109,209,-7,52,-10,-134,32,-448#

$3,-110,214,0,36,-4,-134,32,-448#

$-2,-112,199,-12,28,5,-134,32,-448#

$1,-111,194,-4,28,8,-134,32,-448#

$-8,-99,206,-5,16,12,-141,37,-458#

$1,-96,196,-9,28,20,-141,37,-458#

$-15,-103,200,-15,1,18,-141,37,-458#

$-4,-111,191,-22,32,20,-141,37,-458#

$-5,-106,219,-16,13,30,-141,37,-458#

$45,-103,164,-38,83,35,-141,37,-458#

$-64,-111,267,-7,6,34,-141,37,-458#

$20,-111,195,-18,52,41,-141,37,-458#

$-10,-128,237,-14,25,31,-141,37,-458#

$34,-115,191,-13,35,31,-141,37,-458#

$44,-96,169,-22,44,26,-141,37,-458#

$42,-108,208,-8,20,27,-141,37,-458#

$23,-102,197,-2,49,30,-141,37,-458#

$17,-106,195,-20,42,24,-141,37,-458#

$-26,-107,246,4,31,21,-141,37,-458#

$8,-105,190,-9,58,22,-141,37,-458#

$23,-97,212,-9,65,36,-141,37,-458#

$-8,-98,221,-5,27,34,-141,37,-458#

$41,-90,201,-18,49,32,-141,37,-458#

$10,-100,217,-25,55,33,-141,37,-458#

$-7,-104,234,-14,23,40,-144,39,-460#

$32,-115,206,-22,65,34,-144,39,-460#

$-9,-101,191,-23,38,33,-144,39,-460#

$14,-100,181,-11,48,33,-144,39,-460#

$20,-108,194,-19,56,34,-144,39,-460#

$-238,-98,222,-12,34,26,-144,39,-460#

$-1,-118,197,-16,67,28,-144,39,-460#

$-3,-120,232,-9,45,38,-144,39,-460#

$-1,-103,230,-5,30,30,-144,39,-460#

$34,-104,179,-22,55,25,-144,39,-460#

$7,-114,209,-11,24,27,-144,39,-460#

$2,-119,193,-11,32,30,-144,39,-460#

$-12,-118,200,-21,62,22,-144,39,-460#

$-53,-119,255,11,-2,22,-144,39,-460#

$-3,-122,194,-1,33,24,-144,39,-460#

$-9,-109,211,-5,21,26,-144,39,-460#

$-25,-118,202,6,26,24,-144,39,-460#

$4,-110,224,4,20,27,-144,39,-460#

$-22,-84,192,-16,40,31,-144,39,-460#

$-8,-115,187,2,41,33,-144,39,-460#

$-31,-94,234,-8,30,37,-145,44,-466#

$6,-117,248,0,57,48,-145,44,-466#

$18,-121,235,-7,45,48,-145,44,-466#

$19,-107,211,-15,44,43,-145,44,-466#

$-13,-91,210,-28,32,28,-145,44,-466#

$2,-115,225,-21,26,24,-145,44,-466#

$-10,-103,211,-28,22,24,-145,44,-466#

$18,-105,204,-28,40,27,-145,44,-466#

$19,-102,225,-26,34,25,-145,44,-466#

$4,-120,284,-28,-34,13,-145,44,-466#

$41,-113,197,-33,18,15,-145,44,-466#

$-39,-70,274,-50,-7,2,-145,44,-466#

